Unnamed: 0.1.1,link,total_claps,total_responses,total_claps_scaled,total_responses_scaled,score
0,https://medium.com/@nateliason/no-more-struggle-porn-202153a01108,53000,359,0.963326976675957,0.5302806499261448,0.7901084459760321
1248,https://uxplanet.org/10-small-design-mistakes-we-still-make-1cd5f60bc708,55000,115,1.0,0.16986706056129985,0.6679468242245198
322,https://medium.com/swlh/deliberate-practice-makes-perfect-how-to-become-an-expert-in-anything-ec30e0c1314e,46000,110,0.8349713950418072,0.16248153618906944,0.565975451500712
1095,https://medium.com/personal-growth/the-cure-for-an-anxious-sucky-life-in-less-than-550-words-81898c821ebd,32000,268,0.5782602317735074,0.39586410635155106,0.5053017816047248
939,https://medium.com/swlh/i-have-15-ideas-to-change-your-life-do-you-have-5-minutes-4c29bc386239,37000,167,0.6699427900836145,0.2466765140324963,0.5006362796631671
341,https://medium.com/personal-growth/want-to-reduce-brain-fog-and-improve-clear-thinking-give-up-these-things-immediately-1bfee44f4dd7,38000,101,0.6882793017456358,0.14918759231905465,0.4726426179750034
30,https://medium.com/s/notes-on-changing-your-life/all-goals-in-life-are-problematic-except-one-6036f9cd9ef7,33000,187,0.5965967434355287,0.276218611521418,0.4684454906698844
894,https://medium.com/swlh/write-to-express-not-to-impress-465d628f39fe,33000,169,0.5965967434355287,0.2496307237813885,0.4578103355738726
415,https://medium.com/vanguardmag/why-are-white-dudes-the-only-people-who-leave-negative-comments-on-my-essays-8a86c8d2cbaf,24000,327,0.431568138477336,0.4830132939438701,0.4521462006639496
414,https://medium.com/the-post-grad-survival-guide/eliminate-procrastination-by-asking-two-incredibly-simple-questions-d8a3c926ae35,33000,128,0.5965967434355287,0.18906942392909895,0.4335858156329568
865,https://medium.com/the-post-grad-survival-guide/write-for-us-d728c2720316,2400,677,0.03549948657767346,1.0,0.4212996919466041
56,https://medium.com/swlh/what-i-learned-about-procrastination-while-scaling-my-startup-to-4-2-million-users-b07ba29309e,32000,119,0.5782602317735074,0.1757754800590842,0.4172663310877381
64,https://medium.com/personal-growth/5-more-drawing-exercises-9c0df4645387,31000,83,0.559923720111486,0.12259970457902512,0.3849941138985016
883,https://medium.com/swlh/standing-desks-vs-sitting-why-sitting-isnt-slowly-killing-you-d846d2786b84,27000,134,0.4865776734634002,0.1979320531757755,0.3711194253483504
0,https://humanparts.medium.com/why-is-everyone-succeeding-but-me-29186494166b,24000,176,0.431568138477336,0.2599704579025111,0.362929066247406
1,https://medium.com/better-humans/how-to-make-the-power-of-your-subconscious-mind-work-for-you-295701128db4,24000,97,0.431568138477336,0.1432791728212703,0.3162525522149097
495,https://medium.com/personal-growth/seeing-vs-reading-29365d4540e2,24000,93,0.431568138477336,0.13737075332348594,0.31388918441579594
